,Planet,Surface Pressure [bar],Atmospheric Components,Hydrogen Inventory [H oceans],Redox State,Integration Time (hours),Number of observations,Observations with bb fit,Mean Temperature,Median Temperature,1-sigma Lower,1-sigma Upper
0,HD3167,10.902882027016927,"SO2, H2O",H10,IW4,345.6,15,18.0,684.7932642822581,899.0465166035439,4.260117951532178,1078.2796512654102
1,HD3167,301.8890797227862,"CO2, N2",H20,IW4,299.52,13,15.0,681.0301447720258,879.790166162308,22.643580623280737,1080.161661115033
2,K2141,37.15553686102315,"SO2, H2O",H10,IW4,53.760000000000005,8,9.0,820.5660594090431,1051.985760501227,47.952772997971095,1297.703847611905
3,K2141,474.71853428991705,"SO2, S2",H10,IW4,73.92,11,11.0,767.007085857071,995.5698159216046,42.47865969163617,1224.05635328539
4,LHS1478,317.21236610527086,"H2O, S2",H05,IW0,468000.0,10000,9850.0,232.0363014988011,314.9868888249837,3.034049533025764,347.8043892063131
5,LHS1478,2693.2161974990063,"CO2, H2O",H05,IW4,468000.0,10000,9850.0,234.9720269803256,317.9587104340809,11.123128335835371,349.0099304524139
6,TOI1416,4.9946599634028965,"H2, H2O",H10,IW0,720.0,30,35.0,604.2420089317586,810.9679624799924,0.0,998.7153368020564
7,TOI1416,55.97088523656926,"CO2, SO2",H10,IW4,1176.0,49,53.0,572.8838128594415,766.1090108897262,0.0,938.5216816652965
8,TOI1416,437.01974105049806,"CO, N2",H20,IW0,840.0,35,37.0,596.7995356745611,796.3495026698498,0.0,986.5419176580916
9,TOI1807,153.4742926519814,"CO, N2",H10,IW0,277.2,21,32.0,628.1298594523176,852.6667421986674,0.0,1062.576214229448
10,TOI1807,772.4945333188908,"CO, N2",H20,IW0,277.2,21,21.0,666.1286790599305,910.4183180535872,0.0,1126.0032343865755
11,TOI1807,13.56641297896406,"SO2, H2O",H5,IW4,422.4,32,21.0,668.8011003391924,905.5097712728924,0.0,1113.7363663791466
12,TOI500,20.38406192626932,"H2O, H2",H20,IW2,462.0,35,38.0,725.753988884784,914.8410459895542,42.55390675189247,1131.805115802472
13,TOI500,217.25748870954104,"H2O, SO2",H20,IW4,475.2,36,36.0,705.1061824221388,903.2282474834036,7.513256261641286,1133.9160857467723
14,TOI561,45.076656752754914,"H2O, O2",H20,IW4,378.0,35,34.0,871.4741680272866,1133.3664091944854,2.4013958468759,1396.8062442436346
